Item ID,deduplication_key,other_identifiers,emory_ark,system_of_record_ID,institution,holding_repository,administrative_unit,CSV Call Number,Enumeration,CSV Title,content_type,OCLC Number ,ALMA MMSID,Barcode,DigWF ID,emory_rights_statements,access_restriction_notes,internal_rights_note,rights_statement,visibility,data_classifications,sensitive_material,sensitive_material_note,transfer_engineer,date_digitized,Base_Path,MBytes,PDF_Path,PDF_Cnt,OCR_Path,OCR_Cnt,Disp_Path,Disp_Cnt,Txt_Path,Txt_Cnt,POS_Path,POS_Cnt,Rights - Digitization Basis,Rights - Digitization Basis - Review Date,Rights - Digitization Basis - Note,Rights - Access Basis,Rights Access Basis - Review Date,Rights Access Basis - Note,Ingest - Migration Event Note
1,!!!!!,oclc:ocm12345678|barcode:010101010101|digwf:9090,!!!!!,Alma:111111111111111111,Emory University,"Stuart A. Rose Manuscript, Archives, and Rare Book Library","Stuart A. Rose Manuscript, Archives, and Rare Book Library",PR2877 .S47 2019,,Edge cases,http://id.loc.gov/vocabulary/resourceTypes/txt,ocm12345678,111111111111111111,10101010101,9090,Test fixture,,,http://rightsstatements.org/vocab/NoC-US/1.0/,Emory Network,Confidential,,,,,/dev/null,0,/dev/null,0,/dev/null,0,/dev/null,0,/dev/null,0,/dev/null,0,Public Domain,2050-01-01,,Public Domain,2050-01-01,,Test fixture
117,7stsg,oclc:ocm04416480|barcode:010001355795|digwf:2987,7stsg,alma:990024722450302486,Emory University,"Stuart A. Rose Manuscript, Archives, and Rare Book Library","Stuart A. Rose Manuscript, Archives, and Rare Book Library",PR2825 .A2 G65 1898 HUGHES,,Shakespeare's comedy of The merchant of Venice /,http://id.loc.gov/vocabulary/resourceTypes/txt,ocm04416480,990024722450302486,010001355795,2987,"The online edition of this book in the public domain, i.e., not protected by copyright, has been produced by the Emory University Digital Library Publications Program.",,,http://rightsstatements.org/vocab/NoC-US/1.0/,Public,Confidential,,,,,/Volumes/lsdi2/ocm04416480-2987,237,/Volumes/lsdi2/ocm04416480-2987/ocm04416480/Images/Output/Output.pdf,1,/Volumes/lsdi2/ocm04416480-2987/ocm04416480/Images/Output/Output.xml,1,/Volumes/lsdi2/ocm04416480-2987/ocm04416480/Images/Output,198,/Volumes/lsdi2/ocm04416480-2987/ocm04416480/Images/Output,198,/Volumes/lsdi2/ocm04416480-2987/ocm04416480/Images/Output,198,Public Domain,2017-06-19,,Public Domain,2017-06-19,,"Migrated to Cor repository from LSDI Kirtas workflow during Phase 1 Migrations, 2019"
678,4c1gx,oclc:ocm05922290|barcode:000011362812|digwf:1895,4c1gx,alma:990015328360302486,Emory University,"Stuart A. Rose Manuscript, Archives, and Rare Book Library","Stuart A. Rose Manuscript, Archives, and Rare Book Library",PZ3 .C44 C3 1885,,Choice bits from Mark Twain.,http://id.loc.gov/vocabulary/resourceTypes/txt,ocm05922290,990015328360302486,000011362812,1895,"The online edition of this book in the public domain, i.e., not protected by copyright, has been produced by the Emory University Digital Library Publications Program.",,,http://rightsstatements.org/vocab/NoC-US/1.0/,Public,Confidential,,,,,/Volumes/lsdi/diesel/lts_new/ocm05922290-1895,139,/Volumes/lsdi/diesel/lts_new/ocm05922290-1895/ocm05922290/Output/Output.pdf,1,/Volumes/lsdi/diesel/lts_new/ocm05922290-1895/ocm05922290/Output/Output.xml,1,/Volumes/lsdi/diesel/lts_new/ocm05922290-1895/ocm05922290/Output,198,/Volumes/lsdi/diesel/lts_new/ocm05922290-1895/ocm05922290/Output,198,/Volumes/lsdi/diesel/lts_new/ocm05922290-1895/ocm05922290/Output,198,Public Domain,2017-06-19,,Public Domain,2017-06-19,,"Migrated to Cor repository from LSDI Kirtas workflow during Phase 1 Migrations, 2019"
621,7st4v,oclc:ocm23013246|barcode:000011576106|digwf:2967,7st4v,alma:990017826870302486,Emory University,"Stuart A. Rose Manuscript, Archives, and Rare Book Library","Stuart A. Rose Manuscript, Archives, and Rare Book Library",PZ3 .W85 C66 1870 C.2,Copy 2,The common moths of England /,http://id.loc.gov/vocabulary/resourceTypes/txt,ocm23013246,990017826870302486,000011576106,2967,"The online edition of this book in the public domain, i.e., not protected by copyright, has been produced by the Emory University Digital Library Publications Program.",,,http://rightsstatements.org/vocab/NoC-US/1.0/,Public,Confidential,,,,,/Volumes/lsdi/diesel/lts_new/ocm23013246-2967,207,/Volumes/lsdi/diesel/lts_new/ocm23013246-2967/ocm23013246/Output/Output.pdf,1,/Volumes/lsdi/diesel/lts_new/ocm23013246-2967/ocm23013246/Output/Output.xml,1,/Volumes/lsdi/diesel/lts_new/ocm23013246-2967/ocm23013246/Output,194,/Volumes/lsdi/diesel/lts_new/ocm23013246-2967/ocm23013246/Output,194,/Volumes/lsdi/diesel/lts_new/ocm23013246-2967/ocm23013246/Output,194,Public Domain,2017-06-19,,Public Domain,2017-06-19,,"Migrated to Cor repository from LSDI Kirtas workflow during Phase 1 Migrations, 2019"
622,7st50,oclc:ocm23013246|barcode:000011576116|digwf:2968,7st50,alma:990017826870302486,Emory University,"Stuart A. Rose Manuscript, Archives, and Rare Book Library","Stuart A. Rose Manuscript, Archives, and Rare Book Library",PZ3 .W85 C66 1870 C.3,Copy 3,The common moths of England /,http://id.loc.gov/vocabulary/resourceTypes/txt,ocm23013246,990017826870302486,000011576116,2968,"The online edition of this book in the public domain, i.e., not protected by copyright, has been produced by the Emory University Digital Library Publications Program.",,,http://rightsstatements.org/vocab/NoC-US/1.0/,Public,Confidential,,,,,/Volumes/lsdi/diesel/lts_new/ocm23013246-2968,166,/Volumes/lsdi/diesel/lts_new/ocm23013246-2968/Output/Output.pdf,1,/Volumes/lsdi/diesel/lts_new/ocm23013246-2968/Output/Output.xml,1,/Volumes/lsdi/diesel/lts_new/ocm23013246-2968/Output,194,/Volumes/lsdi/diesel/lts_new/ocm23013246-2968/Output,194,/Volumes/lsdi/diesel/lts_new/ocm23013246-2968/Output,194,Public Domain,2017-06-19,,Public Domain,2017-06-19,,"Migrated to Cor repository from LSDI Kirtas workflow during Phase 1 Migrations, 2019"
