deduplication_key,pl_row,CSV title,type,administrative_unit,content_type,data_classifications,emory_ark,emory_rights_statements,holding_repository,institution,other_identifiers,rights_statement,system_of_record_ID,visibility,conference_name,contributors,copyright_date,creator,date_created,date_digitized,date_issued,edition,extent,content_genres,local_call_number,place_of_production,primary_language,publisher,series_title,subject_geo,subject_names,subject_topics,table_of_contents,title,uniform_title,fileset_label,preservation_master_file,service_file,intermediate_file,transcript_file,extracted,pcdm_use
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 120,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000120.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000120.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000120.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 121,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000121.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000121.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000121.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 122,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000122.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000122.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000122.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 123,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000123.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000123.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000123.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 124,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000124.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000124.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000124.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 125,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000125.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000125.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000125.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 126,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000126.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000126.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000126.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 127,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000127.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000127.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000127.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 128,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000128.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000128.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000128.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 129,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000129.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000129.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000129.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 130,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000130.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000130.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000130.xml,
bcfw1,5,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 131,/Yearbooks/Emory/lsdi2/ftp/000011743488/TIFF/00000131.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011743488/OCR/00000131.txt,/Yearbooks/Emory/lsdi2/ftp/000011743488/ALTO/00000131.xml,
